家居 	 8 款 家居 色彩 搭配   温暖 整个 冬季 ( 组图 ) 独特 的 色彩 、 舒适 的 效果 与 和谐 的 生活 并 不 冲突 ， 家居 色彩 配色 要 遵循 哪些 原则 、 怎样 的 色彩 搭配 能 取得 最好 的 效果 、 如何 运用 家居 色彩 让 生活 更 舒适 ， 快 来看 一 看吧 。 【 米 白色 + 红色 】 以 乳白色 和 米黄色 为 代表 ， 稍暗 的 红色 与 米 白色 搭配 ， 在 统一 的 鲜亮 色调 中 加入 素雅 的 色调 ， 显得 格调高雅 、 富有 现代感 ， 安宁 中 透露 华丽 。 
 家居 	 揭露 黑幕   建材 回扣   业主 怎么 避免 损失 日前 ， 杭州 一家 装 建材市场 的 摊主 来电 揭露 了 目前 建材市场 拿 建材 回扣 的 黑幕 。 黑幕 一 ： 代购 建材 回扣 10% 以上 哪些 人 在 吃 建材 回扣 ? 木工 和 家装 公司 。 一般 装修 ， 房主 亲自 来 买 建材 的 少 ， 因为 懂行 的 太少 ， 房东 对 建材 的 用途 、 功能 、 价格 都 不 了解 ， 就让 木工 和 家装 公司 代购 建材 。 如此一来 ， 家装 公司 就 有 了 话语权 ， 在 采购 时 就 容易 拿到 建材 回扣 。 现在 家装 市场竞争 大 ， 家装 公司 赚钱 不易 ， 就 想方设法 从 建材 供应商 处 拿回扣 。 比如 一块 板材 卖 70 块 ， 商家 就 把 价格 抬到 80 元 ， 付给 家装 公司 至少 10% 的 建材 回扣 。 这样 吃亏 的 肯定 是 房主 。 即使 房主 懂 一些 ， 但 建材 涉及 木板 、 水泥 、 灯管 、 电线 、 黄沙 等 很多 种类 ， 不 可能 全懂 。 如果 你 懂 哪 一行 ， 他们 不会 搞小动作 ， 当 你 不 懂 时 就 会 狠狠 抬高 价钱 的 ， 拿 更 高 的 回扣 。 代购 建材 的 回扣 一般 在 10% 以上 ， 采购 的 东西 多 ， 家装 公司 和 木工 一天 拿 2000 元 没 问题 。 家装 市场 没有 回扣 建材 的 很少 ， 这是 建材业 内 心照不宣 的 规矩 。 黑幕 二 ： 货不真价 不 实花 冤枉钱 摊主 说 ， 他 6 年前 刚 做生意 时 ， 不 知道 这个 “ 规矩 ” ， 卖 的 东西 都 是 明码标价 的 ， 生意 就 做 不好 。 于是 ， 现在 他 也 开始 按 规矩 办事 。 回扣 给 的 多 ， 生意 自然 就 多 了 。 如 没有 明码标价 的 东西 ， 价格 就 没底 ， 可能 本来 只要 50 元 ， 但 家装 公司 或 木工 会 向 房主 报 80 元 或 100 元 。 这 其中 就 有 家装 公司 或 木工 的 回扣 钱 。 根据 摊主 的 说法 ， 家装 公司 或 木工 吃回扣 ， 房主 自然 会花 不少 冤枉钱 ， 这 还 算 好 的 。 有些 房东 指定 买 品牌 的 建材 ， 但 有 的 家装 公司 为了 拿 高 回扣 却 买来 仿制 或 假冒 的 ， 房主 很难 作出 判断 ， 不仅 多花钱 ， 而且 今后 还有 苦头 吃 。 建议 ： 买 建材 时 最好 货比三家 对此 ， 摊主 说 ， 为 防范 家装 公司 和 木工 拿回扣 ， 房主 在 采购 前 ， 可 向 装修 过 的 人 请教 装修 建材 质量 、 价格 等 知识 ; 最好 是 自己 前往 购买 建材 ， 这 就 杜绝 了 装修工 “ 吃回扣 ” 的 可能 。 购买 建材 时 ， 要 多 走 、 多 看 ， 货比三家 ; 要 有 主见 ， 不要 轻信 师傅 的 推荐 ， 无论是 测量 、 预算 还是 买 建材 、 装修 ， 最好 自己 心里 有谱 ， 多长 点 心眼 ， 多花点 时间 。 另外 ， 在 购买 建材 时 ， 最好 向 商家 索取 该 产品 的 合格证 、 环 保证 和 检验 报告 等 查看 ， 以 保证 购买 的 产品质量 。 杜绝 了 装修工 吃回扣 ， 也 保证 了 建材 的 质量 。   
 家居 	 搁板 就是 一个 隐蔽 的 餐桌 ( 图 ) 抽拉式 早 餐桌 见过 抽拉式 餐桌 吗 ？ 这款 抽拉式 的 搁板 就是 一个 隐蔽 的 餐桌 。 拉开 搁板 是 一个 采用 隔热材料 制成 的 足够 大 的 平板 ， 茶壶 、 咖啡杯 、 随意 地 摆在 桌上 ， 推过来 一把 转椅 ， 就 可以 开始 一顿 简单 的 早餐 ， 你 完全 不用 担心 搁板 的 承重 能力 ， 底部 的 金属支架 有 足够 的 强度 ， 五金 连接件 也 确保 了 抽拉 的 顺畅 ， 不用 的 时候 推进 去 ， 空间 又 恢复 到 了 原样 。 
 家居 	 搭配 在 卧室 中 的 照片 抱 枕 ( 图 ) 搭配 在 卧室 中 的 照片 抱 枕 ， 成 了 卧室 的 点睛之笔 编辑 点评 ： 一个 印着 照片 的 抱 枕 ， 既 是 独一无二 的 相架 ， 又 是 甜蜜 温馨 的 抱 枕 。 可以 拥 在 怀中 的 浪漫 回忆 ， 给 卧室 一个 创意 的 点睛之笔 ， 也 给 卧室 一个 更加 温馨 的 理由 。 
 家居 	 搭配 屏风   感觉 自己 就 像 在 油画 里 一样 ( 图 ) 客厅 里 除了 水晶 吊灯 ， 还 安排 了 两盏 水晶 壁灯 。 升级 了 华丽 的 感觉 ， 考虑 到 餐厅 的 清洁 ， 屋主 在 餐厅 和 玄关 用 地砖 ， 装 之前 还 一直 担心 衔接 的 地方 不 自然 。 现在 看上去 ， 还 不错 。 再 来 一张 从 餐厅 到 客厅 的 ， 搭配 屏风 ， 感觉 自己 就 像 在 油画 里 一样 。 
 家居 	 搭配 得当 都 会 呈现 不同 的 效果 ( 图 ) 中性 的 灰色 一定 会 给 人 沉闷 、 暗淡 的 心理 感受 ？ 当然 不是 , 色彩 专家 告诉 我们 ， 任何 颜色 都 有 自己 的 彩度 和 明度 ， 只要 搭配 得当 都 会 呈现 不同 的 效果 。 就 像 深浅不同 、 层次 丰富 的 灰 ， 因 其 柔和 的 色感 ， 是 最 容易 搭配 而 不会 出错 的 选择 ， 也 最能 带来 高雅 、 内敛 的 情绪 感受 。 而 当 它 与 经典 黑白 邂逅 ， 整体 搭配 则 更具 稳定性 。 
 家居 	 搭配 整个 室内设计 效果   做成 装饰 墙 ( 图 ) 不论是 在 客厅 或是 卧室 ， 其实 它 都 适合 。 你 可以 很 容易 找到 合适 的 颜色 ， 配合 其他 的 材料 ， 搭配 整个 室内设计 效果 ， 做成 装饰 墙 。   
 家居 	 搭配 灯饰   倒挂 线形 吊灯 ( 图 ) 搭配 灯饰 ： 倒挂 线形 吊灯 推荐 理由 ： 此款 灯饰 线条 的 优雅 与 简约 ， 与 餐厅 多元 的 色彩 格调 一致 ， 表达 活跃 、 轻松 的 主题 ! 
 家居 	 搭配 田园 风格 竹 藤家具 ( 图 ) 整个 家居 以 实木 装饰 为主 ， 搭配 田园 风格 竹 藤家具 ， 细 处以 文化 石 点缀 自然 风格 ， 足显 整个 家居 原生态 的 自然 风格 。   
 家居 	 搭配 美国 最 优秀 的 艺术 和 设计 ( 图 ) 事实上 ， Michael   S .   Smith 的 来路 实在 不小 。 好莱坞 的 大牌 明星 和 导演 ， 诸如 Dustin   Hoffmann 、 Steven   Spielberg 和 Cindy   Crawford 的 家 都 是 出自 他 的 手笔 。 这次 接手 白宫 的 项目 ， 首先 势必 要 向 奥巴马 家庭 钟情 的 风格 靠拢 ： 通过 休闲 和 随意 的 风格 体现 出 典雅 的 气质 ， 由 其 是 第一夫人 Michelle 一贯 偏好 的 高 、 低端 风格 的 融汇 贯穿 、 对比 ， 而后 再 搭配 美国 最 优秀 的 艺术 和 设计 。   
 家居 	 摆床 应该 南北向   床下 不要 堆放 杂物 ( 图 ) 床下 不要 堆放 杂物 床下 清理 不便 且 通风 不 畅 ， 杂物 容易 在 此 滋生 细菌 ， 卧室 卫生死角 会 直接 影响 健康 。 摆床 应该 南北向 由于 地球磁场 具有 吸引 铁 、 钴 、 镍 的 特性 ， 人体 同样 含有 这三 元素 。 东西向 睡眠 时 ， 容易 影响 血液 在 体内 的 分布 ， 干扰 睡眠 。 
 家居 	 摆放 图书 和 杂物 的 时候 要 按照 大小 ( 图 ) 盖住 不美观 家居 由于 空间 狭小 ， 你 可能 需要 在 餐厅 或者 其他 地方 整合 出 一个 家庭 工作室 ， 但是 钢制 的 办公 柜 放在 家里 怎么 都 会 显得 太硬 不够 温馨 也 不够 美观 。 那 就 用 一块 布 ， 这个 屡试不爽 的 便宜 的 好 方法 来 解决 吧 。 需要 注意 的 就是 要 测量 准确 布艺 的 长度 ， 并且 用 钩子 或 磁铁 等 来 固定 住布 。 摆放 图书 和 杂物 的 时候 要 按照 大小 空间 节约型 座椅 小户型 的 客厅 空间 里 或许 只容 得 下 一个 沙发 、 茶几 ， 和 一张 椅子 ， 这样 就 没有 足够 的 椅子 来 招待 一群 朋友 。 那 不妨 做 几个 布 的 坐凳 吧 ， 这样 空间 占用 面积 就 很小 了 。 并且 不 使用 的 时候 ， 坐凳 就是 一个 存储 箱 了 。 注意 的 就是 ， 购买 泡沫 垫子 的 厚度 和 大小 您 所 需要 的 ， 然后 搜集 一些 旧 的 布艺来 为 坐凳 作 装饰 。 
 家居 	 摆放 在 此处 的 饰物 要 小心 ( 图 ) 由于 玄关 位居 冲 要 ， 对宅 运大有 影响 ， 因此 ， 摆放 在 此处 的 饰物 要 小心 ， 以免 无意 中 破坏 了 住宅 风水 。 古人 多 摆放 狮子 、 蹦蹦 这些 威猛 而 具有 灵性 的 猛兽 在 门口 镇守 ， 作为 住宅 的 守护神 。   
 家居 	 摆脱 沉闷 为 黯淡 添加 色彩 ( 组图 ) 是否 您 的 房间 停留 在 沉闷 的 一片 黯淡 之中 ， 来 看看 明亮 、 大胆 的 设计 吧 。 全 米黄色 的 粉刷 让 房间 温暖 生动 起来 。 橙色 的 色块 另 之前 毫无 生机 的 房间 重新 成为 焦点 。 
 家居 	 摆饰 多多 到 生病   饰品 切忌 莫 乱放 ( 图 ) 摆饰 多多 到 生病 常常 很多 人 喜欢 在 房间 里 摆个 海报 ， 买 数个 堆起来 之后 不 可爱 的 玩偶 ， 或者 是 有 一大堆 杂七杂八 的 装饰品 。 其实 ， 这些 东西 对 身体 久而久之 就 会 产生 不良 的 影响 ， 因为 摆饰 刚好 就 还 不错 ， 若太多 了 ， 除了 让 你 眼睛 变差 外 ， 感冒 也 比人 容易 ， 原因 是 气场 阻塞 ， 会 让 人 抵抗力 便 差 ！ 家里 不当 金字塔 家里 应该 避免 尖锐 物 的 产生 ， 因为 这些 东西 会 产生 类似 金字塔 之中 的 “ 尖端 效应 ” ， 伤害 你 的 神经系统 和 内分泌 系统 ， 而且 气场 的 活动 将 受到 阻挠 ， 原因 是 尖角 、 棱角 的 形状 会 放射出 不 稳定 的 能量 来 ， 让 你 的 家 十足 成 了 一个 身体 机能 不会 自然 运转 的 活 金字塔 。 
 家居 	 收纳 空间 赶角 做 ( 图 ) 收纳 空间 赶 “ 角 ” 做 也许 很多 人 还 会 记得 ， 小时候 ， 家里 的 储 鞋柜 并 不是 现在 看见 的 、 摆在 门口 的 木制 柜子 ， 而是 嵌 在 墙体 里 的 一个 收纳 空间 ， 俗称 鞋洞 。 讲究 的 家庭 会 在 鞋 洞 外面 装 上 一道 小门 ， 这 就 成 了 最 原始 的 鞋柜 。 时代 发展 ， 人们 淘汰 了 鞋 洞 ， 转而 购买 形式 、 材质 各异 的 成品 鞋柜 。 现在 ， 居室 空间 再次 变小 ， “ 鞋洞 ” 原理 即将 被 再次 应用 到 收纳 空间 制作 上 。 
 家居 	 收藏 有理   非常 可爱 的 手工 饰品 ( 组图 ) 也许 很难 理解 设计者 的 初衷 ， 可 这些 创意 却 着实 令 我们 爱不释手 ， 迫不及待 的 想 与 大家 分享 。 材料 的 选取 ， 有 亚麻 、 羊毛 、 马海毛 、 棉花 、 旧布 、 呢料 、 纽扣 、 银线 等等 ， 绝对 值得 收藏 ！ 
 家居 	 改善 材质 搭配   柔化 生活 线条 ( 图 ) 改善 第 4 步   改善 材质 搭配   柔化 生活 线条 难易度 ： 极易 一个 不会 让 家 感到 老套 ， 又 能 时时 让 你 感到 它 的 温馨 和 华美 的 做法 ， 就是 使用 不同 效果 的 壁纸 。 朴素 的 花草 图案 和 天然 亲 和 的 质地 ， 都 是 选择 的 理由 。 利用 一些 温暖 、 朴实 的 材料 来 使 空间 更具 温馨 气息 ， 如 木头 、 哑光 砖 、 棉布 等 。 大胆 使用 你 喜欢 的 材料 ， 尝试 新 的 材料 常常 会 带给 生活 意想不到 的 惊喜 。 
 家居 	 救世主 餐厅   东京   日本 ( 图 ) 救世主 餐厅 ， 东京 ， 日本 该 餐厅 以 圣人 雕像 做 装饰 ， 还有 圣母 玛利亚 ， 是 天主教 的 最 爱 。 
 家居 	 教 你 6 招   打造 超 经典 小户型 ( 组图 ) 小房间 如果 到处 都 是 柜子 ， 相对 的 却 也 减少 了 生活 的 空间 。 与其 如此 ， 不如 把 装潢 的 钱 拿来 买 一些 比较 好 一点 的 家具 。 所谓 的 “ 轻 装修 ” 装潢 理念 主张 ： 在 有限 的 预算 下 ， 居家 空间 的 实用 机能 应 以 家具 配置 才 是 装潢 的 首要 重点 ， 至于 天 、 地 、 壁 的 修饰 则 属于 空间 修饰 的 配角 。 小 空间 减少 了 固定 笨重 的 装修 ， 空间 被 挪 出来 了 ， 人才 能活 得 自 在 。 
 家居 	 教 你 几招   让 小户型 卧室 不 压抑 ( 组图 ) 很多 人 埋怨 卧室 空间 太 少 ， 而 杂物 到处 都 是 ， 但是 由于 受 现实 条件 的 限制 ， 不能 换 一个 大 空间 ， 往往 因此 感到 很 苦恼 。 其实 只要 合理 地 处理 卧室 的 空间 ， 还是 可以 腾出 足够 的 位置 摆放 杂物 而且 不会 感到 空间 不够 用 。 这里 有些 小 秘籍 可以 令小 卧室 变出 大 空间 哦 ， 快 来看 看吧 。 卧室 的 功能 不过 两样 ： 休憩 和 收纳 。 在 小 空间 里 同时 完成 这 两样 功能 又 不 显得 逼仄 ， 很 需要 花些 心思 。 如果 再 加上 房型 不够 理想 、 一个 房间 多样 应用 等 制约 ， 空间 的 开发 就是 真正 考验 主 人们 的 一道 难题 了 。 难题 一 ： 来 了 客人 怎么办 ? 两室 一厅 甚至 三室一厅 的 主 人们 肯定 为 这个 问题 发愁 。 谁家 没有 个 亲戚 姐妹 ? 一间 主卧 、 一间 儿童房 、 一间 书房 ， 来 了 客人 难道 真的 让 人家 到 客厅 打地铺 ? 多功能 在 一个 空间 里 的 融合 是 小 面积 居室 常会 遇到 的 问题 。 解决之道 ： 房子 小有 小 的 巧妙 ， 这个 时候 完全 可以 将 日常 的 书房 改造 成 临时 客房 。 难点 只 在于 如何 在 不 来客 的 时候 不让 床铺 占用 位置 ， 并且 休憩 起来 舒适 。 这 一家 的 主人 就 把 工作 间 、 书房 和 客房 完整 地 融合 在 了 一起 。 主人 思考 颇为 缜密 ， 在 装修 之初 就 考虑 好 了 每个 房间 的 功能 和 用途 ， 使得 设计师 能够 将 床 天衣无缝 地 安装 在 书柜 里 。 这样 既 不会 为 不 大 的 居室 增添 一间 闲置 房间 ， 又 拥有 一个 独立 的 书房 。 适宜 人群 ： 常住 、 短住 都 没有 问题 ， 适宜 所有 不 准备 单备 客房 的 家庭 。 他山之石 ： 不想 占用 书柜 空间 的 同志 ， 可以 在 书房 里 增加 一张 折叠 沙发 ， 来客 的 时候 打开 即可 。 
 家居 	 教 你 如何 充分利用 厨房 拐角 的 空间 ( 组图 ) 相信 差不多 每家 的 厨房 都 有 那么 一个 小小的 角落 让 你 没 办法 利用 ， 只能 眼睁睁 的 看着 它 白白浪费 掉 。 今天 我们 的 小编 整理 了 一些 解决 厨房 拐角 的 妙 招 ， 肯定 有 一个 方法 是 适合 你 的 。 还 等 什么 ， 快去 看看 吧 。 对于 有 足够 空间 使用 面积 的 厨房 ， 将 作业 台 布列 成 U 形并 使 其中 一端 拐角 沿墙 设计 ， 另 一 拐角 回旋 到 总体 空间 中 延伸 ， 然后 在 腾空 延伸 的 一端 背部 设计 条形 或 半圆形 的 早餐 台 。 这种 设计 显示 出 活泼 、 洒脱 的 情致 ， 富有 凝聚 、 亲切感 。 
 家居 	 敞开式 的 拱型 哑口 和 窗洞 ( 图 ) 敞开式 的 拱型 哑口 和 窗洞 ， 在 原 形态 下 做 了 现代性 的 变异 和 改进 ， 增加 了 大气 感 
 家居 	 数字 图案 的 墙纸   个性 十足 ( 图 ) 数字 图案 的 墙纸 ， 个性 十足 。 
 家居 	 整个 卧室 用 粉色 作为 主打 色 ( 图 ) 整个 卧室 用 粉色 作为 主打 色 ， 并且 通过 深浅 不一 的 粉色 来 作为 视觉 的 隔断 ， 并且 在 床头 巧妙 的 运用 大 玻璃镜 制造 视觉 上 的 大 空间 。 
 家居 	 整个 场景 直接 挑高 二层 楼高 ( 图 ) 再者 ， 屋内 的 楼中楼 ， 整个 场景 直接 挑高 二层 楼高 ， 屋内 的 隔间 也 不 多 ， 家中 呈现 宽广 的 格局 ， 这样 的 生活品质 真令人 向往 ! 
 家居 	 整个 家居 以 实木 装饰 为主 ( 图 ) 整个 家居 以 实木 装饰 为主 ， 搭配 田园 风格 竹 藤家具 ， 细 处以 文化 石 点缀 自然 风格 ， 足显 整个 家居 原生态 的 自然 风格 。   
 家居 	 整个 家居 原生态 的 自然 风格 ( 图 ) 整个 家居 以 实木 装饰 为主 ， 搭配 田园 风格 竹 藤家具 ， 细 处以 文化 石 点缀 自然 风格 ， 足显 整个 家居 原生态 的 自然 风格 。   
 家居 	 整个 家居 装修 效果 极尽 奢华 ( 图 ) 80 后 的 装修 就 如同 他们 留给 大众 的 印象 一样 ， 也 是 充满 个性 让 人 惊喜 的 。 来 看看 下边 这个 装修 案例 吧 ， 100 多平 的 “ 大户型 ” ， 总共 只要 7 万 就 完全 搞定 了 整个 装修 ， 而且 整个 家居 装修 效果 极尽 奢华 ， 赶快 来 欣赏 这个 经典 的 省钱 装修 案例 学习 省钱 之发 吧 ！ 户型 : 两房两厅 面积 : 102 平方米 装修 费用 : 总价 7 万 ， 软装 4.5 万 效果 : 年轻人 ， 结婚 用房 ， 整体 效果 很 现代 很 时尚 ！ 
 家居 	 整个 房间 以 地毯 为界 ( 图 ) 客厅 整个 房间 以 地毯 为界 ， 白底 黑花 地毯 上 的 部分 算是 Alice 的 客厅 ， 另一边 没有 地毯 的 部分 则 算作 卧室 。 倾斜 的 墙面 上 那 两扇 小 天窗 也 被 划分 到 了 不同 的 领地 。 
 家居 	 整个 房间 视觉效果 的 沉闷 ( 图 ) 鲜艳 的 黄色 打破 整个 房间 视觉效果 的 沉闷 ， 完整 地 展示 沙发 的 色彩 和 线条美 。   
 家居 	 整个 身心 都 会 觉得 很 放松 很 舒适 ( 图 ) 向来 很 喜欢 韩式 风情 的 柔美 典雅 ， 尤其 是 喜欢 看 韩剧 的 女孩子 更是 没有 不 喜欢 的 ， 在 这样 的 房间 里 整个 身心 都 会 觉得 很 放松 很 舒适 呢 。 
 家居 	 整体 壁柜 在 碎花 壁纸 的 背 衬下 ( 图 ) 简约 壁炉 和 整体 壁柜 在 碎花 壁纸 的 背 衬下 ， 绘出 美式 乡村 风格 
 家居 	 整体 概念 彻底 走遍 家 的 每个 角落 ( 图 ) 当 厨房 被 整体橱柜 占领 ， 整体 浴柜 众望所归 ， 在 卫生间 唱起 了 主角 ， 从此 ， “ 整体 ” 概念 彻底 走遍 家 的 每个 角落 。 所谓 整体 浴柜 ， 是 指非 装修 队 现场 打造 、 而是 由 卫浴 品牌 结合 台盆 、 龙头 、 镜子 整体 设计 制作 而成 的 卫生间 家具 。 整体 浴柜 从 某种意义 上 来说 显然 超越 了 传统 浴室柜 ， 她 的 集成 特质 将 卫浴 空间 的 每 部分 融为一体 ， 赏心 、 悦目 、 怡情 。   
 家居 	 整体 浴柜 众望所归   在 卫生间 唱起 了 主角 ( 图 ) 当 厨房 被 整体橱柜 占领 ， 整体 浴柜 众望所归 ， 在 卫生间 唱起 了 主角 ， 从此 ， “ 整体 ” 概念 彻底 走遍 家 的 每个 角落 。 所谓 整体 浴柜 ， 是 指非 装修 队 现场 打造 、 而是 由 卫浴 品牌 结合 台盆 、 龙头 、 镜子 整体 设计 制作 而成 的 卫生间 家具 。 整体 浴柜 从 某种意义 上 来说 显然 超越 了 传统 浴室柜 ， 她 的 集成 特质 将 卫浴 空间 的 每 部分 融为一体 ， 赏心 、 悦目 、 怡情 。   
 家居 	 新 中式 风格 买 些 中式 家具 就行 ( 图 ) 局部 做些 中式 点缀 许多 人 认为 新 中式 风格 只要 买 些 中式 家具 就行了 。 其实不然 ， 如果 想 把 现代 风格 与 中式 元素 完美 地 融合 ， 最好 在 基础 设计 时 就 适当 地 增加 一些 中式 符号 ， 如 中式 窗格 、 中式 字画 壁纸 等等 。 但 要 记住 ， 这种 中式 点缀 不宜 过多 ， 在 某 一部分 稍稍 点缀 一下 就 可以 了 。 通常 这种 设计 都 出现 在 固定 的 地方 ， 像 窗格 大都 出现 在 电视 背景墙 、 沙发 背景墙 、 卧室 背景墙 、 餐厅 隔断 等 地方 ; 壁纸 则 主要 用 在 书房 。 新 中式 风格 买 些 中式 家具 就行 如果 想 中式 氛围 浓郁 些 ， 可以 在 装修 设计 造型 上 下功夫 。 电视 背景墙 就是 很 好 的 设计 场所 。 在 这个 案例 中 ， 设计师 用 木板 并排 摆放 ， 上面 刻上 阴文 书法 ， 构成 了 书简 的 效果 。 但光 有 书简 是 不够 的 ， 电视 背景墙 最好 还要 有些 置物 功能 ， 因此 设计师 在 书简 四周 设计 了 简单 的 置物架 ， 用来 摆 古董 。 再 在 两边 用 浓郁 的 中国 红 装饰 ， 红黑 对比 十分 雅致 高贵 。 不仅如此 ， 这样 设计 还 能 与 边上 的 圈椅 相 呼应 ， 将 气氛 做到 最足 。 新 中式 风格 中 ， 中式 元素 不 需要 太 多 ， 但 一定 要 风格 鲜明 。 像 这个 案例 中 ， 中式 借景 手法 被 运用 得 恰到好处 。 客厅 背景墙 被 设计 成 镂空 的 ， 透过 其 可以 看到 餐厅 的 绿色植物 。 这种 处理 手法 很 适合 客厅 餐厅 布局 不是 太 合理 ， 空间 狭小 的 户型 。 如此 处理 可以 使 憋闷 的 空间 在 视觉 上 保持 通透 ， 还 不会 影响 使用 。 而 另一侧 的 木格 装饰 则 更 将 中式 气氛 做到 最足 。 另外 ， 红金 两色 的 对比 也 是 中式 风格 中 经常 遇到 的 。 书房 是 另 一个 体现 中式 元素 的 好处 所 。 借 书房 文化氛围 浓 的 特点 ， 壁纸 可以 采用 字画 图案 ， 做 旧 的 效果 、 流畅 的 笔触 都 是 很 典型 的 中式 元素 。 再有 ， 书房 的 色调 不宜 过于 鲜艳 ， 一般 以 深色 为主 。 
 家居 	 新奥 罗拉 大理石 略带 华丽 的 纹理 ( 图 ) 客厅 主墙 ： 电视 墙面 运用 新奥 罗拉 大理石 略带 华丽 的 纹理 ， 大理石 框 以内 凹 设计 ， 让 主墙 更 有 层次感 。 配合 两旁 有 金属 质感 的 展示柜 ， 以 可 突显 主墙 的 壁纸 做 背景 ， 极具 经典 大器 轩昂 魅力 。 客 餐厅 之间 的 大理石 柱 利用 彩绘 的 方式 画出 大理石 纹路 ， 不仅 具有 画龙点睛 的 效果 ， 更 有 区隔 空间 的 作用 。 
 家居 	 新年 家装 的 多样 色彩 ( 组图 ) 宽敞 的 客厅 ， 色点 淡雅 ， 紫色 是 我 最 钟爱 的 一种 颜色 ， 作为 电视 背景墙 再 合适 不过 ！ 画上 花 ， 有 一种 飞舞 的 感觉 ， 心情 飘逸 ！ 
 家居 	 新年 新气象   2010 年 十款 壁纸 推荐 ( 组图 ) 在 如今 轻 装修 ， 重 装饰 的 风潮 下 ， 家居 配饰 以 它 的 独特 的 魅力 吸引 了 大家 的 目光 。 就 连 以往 我们 认为 光洁 如玉 的 墙面 ， 如今 也 由 壁纸 和 墙饰 强强 联手 ， 上演 了 “ 墙面 功夫 ” 大行其道 的 精彩 好戏 。   看看 精彩 的 壁纸 装修 案例 吧 。 大 红色 的 壁纸 ， 热烈 而 张扬 。 素雅 的 壁纸 ， 沉静 自然 。 
 家居 	 新房 装修   卫浴 难题 解决之道 ( 组图 ) 一 、 空间 根据 卫生间 的 面积 ， 再 确定 卫生间 能 摆 上 几件 洁具 。 再 由 洁具 大小 、 色彩 来 选择 地砖 和 墙砖 的 搭配 是否 协调 美观 。 这些 材料 选 好 之后 ， 别 忽略 了 卫生间 的 电路 装置 、 水管 安装 以及 下水道 的 处理 。 如果 卫生间 是 用 电热水器 ， 就 必须 单独 拉 一组 电线 ， 其 照明 和 插座 则 用 另一组 电线 ， 同时 要 在 卫生间 不同 的 位置 装 几个 插座 以 方便使用 。 通风 情况 不好 的 卫生间 还 必须 装 上 换气扇 ， 以防 意外 发生 。 
 家居 	 新 田园 风格 的 精彩 演绎 ( 组图 ) 新 田园 风格 的 演绎 ， 就是 使用 环保 材料 打造 真正 的 田园 家居 。 肌理 感 的 壁纸 仿佛 海边 的 沙滩 ， 各种 绿植 和 花卉 也 增加 了 田园 的 气息 。   
 家居 	 新鲜 创意 墙贴   让 小家 更 有 个性 ( 组图 ) 墙 贴 与 传统 的 手绘 墙 有着 很大 的 区别 ， 把 给 您 设计 和 制作 好 现成 的 精美 图案 ， 只 需 动手 贴 在 墙上 ， 玻璃 或 瓷砖 上 即可 。 无需 您 挥毫 笔墨 ， 只要 搭配 整体 的 装修 风格 ， 以及 主人 的 个人 气质 ， 选 一副 好 的 图案 贴 在 家里 ， 不但 彰显 出 主人 的 生活 情趣 ， 让 家 赋予 了 新 生命 ， 也 引领 新 的 家居装饰 潮流 。 
 家居 	 无奇 的 墙面 可以 创造 出 亮点 ( 图 ) 5 . 悬空 壁炉架 平淡无奇 的 墙面 可以 创造 出 亮点 。 如果 你家 没有 壁炉 不要紧 ， 旧物 改造 的 悬空 精美 镂花 托架 看上去 和 老式 壁炉 没有 太 大 区别 。 你 也 可以 购买 老式 壁炉架 ， 或者 用 储存 的 木板 自己 做 。 总之 ， 要 确保 用 锚 或 L 形 支架 在 墙面 上 固定 牢 
