家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 极富 欧式 风格 的 大型 沙发 ( 图 ) 经典 奢华 欧式 家居 ， 以 外观 吸引 人 的 奢华 家具 一般 都 有 炫目 的 造型 ， 让 人 一眼 望去 便 可知 其 珍贵 ： 无论是 极富 欧式 风格 的 大型 沙发 ， 还是 中式 传统 雕 梁画柱 的 酸枝木 、 红木家具 ， 都 是 各 有 各 的 磅礴 气势 和 极为 考究 的 做工 。 
 家居 	 格子 纹 在 家居 中 的 运用 ( 组图 ) 格纹 元素 对称 中式 客厅   中式 格纹 木质 家具 与 西式 水晶 吊灯 的 完美 组合 ， 让 客厅 独具 混 搭 的 韵味 ， 整体 空间 采用 了 对称 设计 ， 黑色 的 墙面 上 映衬 着 两个 红色 格纹 多宝格 ， 中间 是 两排 白色 的 沙发 和 木质 茶几 ， 向下 垂落 的 水晶 吊灯 熠熠生辉 。 
 家居 	 格局 设计 装修 的 必要 问题 ( 图 ) 单身 美眉 的 55 平米 小户型 ， 包括 了 卧室 、 客厅 、 开放式 厨房 、 卫生间 和 1 平米 的 小 阳台 。 格局 设计 有些 问题 ， 譬如 厨房 与 卧室 正对 ， 但 屋主 很 是 心灵手巧 ， 将 小小 蜗居 也 布置 得 相当 温馨 。 
 家居 	 梅花 的 出现 而 显得 古色古香 ( 图 ) 床头 “ 花 ” 样   这个 床头 的 内 凹 背板 就是 制作 仿 丝绸 嵌入 画 的 最佳 位置 ， 因为 梅花 的 出现 而 显得 古色古香 。 用 木器漆 将 背板 刷成 丝绸 效果 ， 漆料 干燥 后用 细 毛笔 蘸 取 褐色 颜料 在 框 的 四周 画上 虚线 。 将 制作 好 的 梅花 纸 模板 按压 在 背板 上 ， 调好 的 色漆 涂刷 在 梅花 纸板 的 镂空 处 ， 用 同样 的 方法 制作 多个 梅花 图案 。 油漆 晾干 后 ， 再 整体 涂刷 一遍 透明 的 清漆 覆盖 图案 ， 起到 保护 作用 ， 成品 效果 就 像 丝绸 布上 刺绣 了 梅花 图案 。   
 家居 	 梨花   海棠 与 院落 ( 图 ) 梨花 、 海棠 与 院落 上 世纪 90 年代 末 在 做 一个 住宅 项目 时 ， 陈家 刚 给出 的 设计 是 空中 花园别墅 ， 如果 楼盘 完工 ， 那里 入住 的 所有 住户 都 将 拥有 一个 自己 的 花园 。 这个 设计 虽然 最终 未能 实际 建设 完工 ， 但是 作为 一种 诗意 居住 状态 的 倡导者 ， 陈家 刚 的 家 在 凡尘 烟火 之 余 ， 也 仍 执着 地 留有 自己 诗意 的 部分 。 整个 房子 在 卧室 和 小 客厅 、 工作 间外 都 有 一个 小 院落 ， 也许 我们 不能 称 它们 为 花园 ， 因为 其间 并 没有 多少 植物 ， 每个 院落 的 树木 均 为 两株 ， 是 改造 后 移植 过来 的 ， 地面 被 整齐 铺 贴 后 ， 与 随意 的 植物 构成 了 充满 禅意 的 东方 情境 。 小 客厅 外 的 院子 里 是 梨花 和 海棠 ， 陈家 刚笑言 ， 那 是 “ 一树 梨花 压 海棠 ” ； 工作 间外 的 院子 里 则 是 杏树 和 玉兰 ， 陈家 刚 调侃 ， 那 是 “ 富贵 声声 逼人 来 ” 。 树木 虽少 ， 却 都 是 精心 挑选 的 ， 姿态 都 别具 韵致 ， 秋天 时 ， 梨树 尚绿 ， 海棠 果红 ， 日头 微光 尘影 ， 临院览书 ， 也 是 极 美的 事 。 凡尘 的 理想 诗意 ， 想来 也 会 随之 直达 心底 。   
 家居 	 楼梯 下 也 收纳 ( 图 ) 楼梯 下 也 收纳 在 楼梯 下面 的 空白 地方 可以 做 一个 嵌入式 收纳 柜子 。 柜子 的 做成 格状 ， 既 能 看清 里面 放 的 物品 ， 又 不会 觉得 死板 。 
 家居 	 楼梯 尽头 的 空间 ( 图 ) 楼梯 尽头 的 空间 在 楼梯 的 尽头 ， 可以 沿着 墙壁 设计 一个 嵌入式 收纳 柜 。 这个 收纳 柜 可 真是 功能强大 ， 设有 储 酒架 、 衣柜 。   
 家居 	 橘红色   使 人心 生 厌烦 的 感觉 ( 图 ) 8 . 橘红色 多者 ， 虽然 是 充满 生气勃勃 ， 很 有 温暖 的 感觉 ， 但是 过多 的 橘色 ， 也 会 使 人心 生 厌烦 的 感觉 。   
 家居 	 款款 精致 门厅 设计 虏获 你 的 心 ( 组图 ) 利用 好 家中 的 每 一块 地方 是 所有人 的 目标 ， 这个 简单 的 门厅 ， 就 很 好 的 用 上 了 墙上 的 空间 ， 做成 了 个 漂亮 的 书架 ， 里面 可以 存放 很多 您 心爱 的 书籍 。 在 旁边 添置 一个 舒适 的 坐垫 ， 让 人 都 想 多 在 这里 停留 片刻 。 
 家居 	 水烛 叶 和 扶郎花 的 夏日 缠绵 ( 图 ) 用水 烛叶 捆扎 成束 ， 固定 在 注水 的 茶盘 中 ， 水烛 叶 中间 放置 几个 小 试管 ， 插入 几枝 扶郎花 ， 花材 还 可 定期 更换 ， 这样 的 夏日 桌花 ， 怎 不让 人 神清气爽 ！ — — 福州 海藻 园 花艺师 郭少静 作品 
 家居 	 沉醉   最 浪漫 的 接吻 之屋 ( 组图 ) 雨后 的 阳光 带 着 氤氲 的 气息 轻轻 散落 在 花丛 、 湖面 和 林木 间 ， 屋檐下 的 院落 蒙上 了 薄薄的 金色 纱幔 。 微风 轻拂 脸颊 ， 带来 了 泥土 的 清香 和 花草 的 甜蜜 。 溪水 潺潺 ， 鸟儿 清啼 ， 美妙 的 旋律 从 窗户 内 流淌 出来 … … 和 朋友 不经意 间 聊起 了 维多利亚 Fairholme   Manor   Bed   and   Breakfast   Inn ， 仿佛 众里 寻 她 千百度 之后 的 邂逅 ， 令 我 心神 向往 。 于是 ， 在 下 一趟 旅程 开始 前 ， 我 不 忘 做 番 功课 — — 收集 目的地 家庭旅馆 的 信息 。 几番 穿梭 之后 ， 我 发现 加拿大 不列颠 哥伦比亚省 的 家庭旅馆 别有 风情 。 我 爱 它 的 精致 与 尊贵 ， 这些 感受 会 在 旅馆 的 无数 细微 节之处 迸发 出来 ， 环境 、 家俱 、 装饰 、 服务 … … 甚至 小到 床头 一支 鲜花 的 摆放 ， 无不 令人感动 。 在 西方 国家 ， 家庭旅馆 已有 数十年 历史 。 这种 俗称 B & B ( Bed   &   Breakfast ) 的 家庭 住宿 形式 通常 只 提供 床位 和 早餐 ， 省略 了 普通 城市 酒店 涵盖 的 其他 设施 和 服务 ， 价廉物美 ， 而且 备觉 温馨 。 选择 家庭旅馆 的 人 往往 能够 零距离 融入 当地 文化 ， 最 真切 地 体验 普通人 的 生活 。 或许 这番 经历 给 同样 一段 旅程 赋予 了 更 多 浪漫 色彩 。 在 不列颠 哥伦比亚省 ， 不同 等级 的 家庭旅馆 随处可见 ， 其中 不乏 高档 的 别墅 。 它们 大多 被 美丽 的 风景 簇拥着 ， 而 别墅 本身 或 华美 、 或 精巧 、 或 独特 的 建筑风格 ， 又 是 风景 的 重要 组成 。 家庭旅馆 一般 只有 少量 客房 ， 每家 的 特色 服务 则 各不相同 。 旅馆 的 女主人 往往 担负 重责 ， 她 需要 招待 客人 ， 了解 每位 客人 的 喜好 ， 提供 个性化 服务 。 这些 服务 细微 入致 ， 大到 房内 家俱 的 选择 、 小到 一 本书 、 一个 杯子 的 摆放 ， 甚至 每天 的 早餐 ， 摆设 和 装饰 都 会 有 令人 期待 的 变化 。 加拿大人 的 内敛 性格 和 热爱生活 的 特质 在 “ 家 ” 里 诠释 得 淋漓尽致 。 
 家居 	 沙发 的 色彩 对 空间 塑造 起 的 作用 ( 图 ) 沙发 在 房间 中 占有 很大 比例 的 元素 便是 家具 了 ， 沙发 的 色彩 对 空间 塑造 起到 很大 作用 。 如果 想 让 房间 变个 色调 或 风格 ， 不妨 试着 给 沙发 换个 座套 。 
 家居 	 沙发 看上去 十分 的 优雅 ( 图 ) 这 款 现代 流线 感 的 沙发 看上去 十分 的 优雅 ， 但 不要 被 它 的 美丽 所 欺骗 住 您 雪亮 的 眼睛 哦 ， 它 可 不仅仅 是 个 时尚 的 沙发 ， 到 夜晚 来临 之 时 ， 它 也 可以 立刻 变 身 成为 一个 舒适 的 大床 ， 很 奇妙 吧 ， 也 可以 节约 空间 呢 。 
 家居 	 泛着 绸缎 光泽 的 玫 红色 壁纸 ( 图 ) 泛着 绸缎 光泽 的 玫 红色 壁纸 ， 就是 空间 的 背景 色彩 ， 无需 浓墨重彩 ， 只 在 米 白色 沙发 上 随意 点缀 几款 玫 红色 与 米 白色 相间 的 花纹 靠垫 ， 即可 将 色彩 的 张力 优雅 释放 。   
 家居 	 活力 无限 的 花鸟 图案 ( 组图 ) 花鸟 图案 沙发 休闲 区   绘有 花鸟 图案 的 沙发 五彩缤纷 ， 让 房间 变得 温暖 可亲 ， 与 落地 的 彩色 花卉装饰 画 相映成趣 ， 茶几 上 的 白瓷 咖啡杯 上绘 有 一只 俏皮 的 小鸟 ， 让 空间 充满 振翅 欲 飞 的 动感 ， 花瓶 里 的 火鹤 兰 与 泰国 面具 摆设 营造 出 异国 风情 。 1 . 花鸟 图案 沙发 休闲 区   绘有 花鸟 图案 的 沙发 五彩缤纷 ， 让 房间 变得 温暖 可亲 ， 与 落地 的 彩色 花卉装饰 画 相映成趣 ， 茶几 上 的 白瓷 咖啡杯 上绘 有 一只 俏皮 的 小鸟 ， 让 空间 充满 振翅 欲 飞 的 动感 ， 花瓶 里 的 火鹤 兰 与 泰国 面具 摆设 营造 出 异国 风情 。 花鸟 图案 沙发 7980 元   靠 包 480 元 / 个   金色 竹节 造型 单人 椅   4500 元   蓝色 花鸟 图案 边柜 2450 元   黑色 茶几   4350 元   花鸟 图案 杯 碟 组   价洽 店 内   以上 均 为 DARA   金 棕色 桌祺   60 元   山水 之间   
 家居 	 流水 先知   盆壁 在 水 之间 散发 芬芳 ( 图 ) 春暖花开 ， 流水 先知 。 加速 季节 ， 绽放 每 一个 具有 代表性 的 视觉 芬芳 。 BMOOD 在 2009 年 推出 的 ARANEL 系列产品 ， 以 手绘 上 色 方式 在 由 激光 切割 的 白色 洗手盆 上 留下 花草 的 身影 。 漫在 水中 ， 水珠 莹莹 ， 这些 附着 在 盆壁 的 花朵 慢慢 剥落 、 绽放 ， 幽幽地 在 水 之间 散发 芬芳 。 而 配套 的 镜子 、 毛巾架 、 灯架 也 随之 找点 定型 ， 契合 这 浪漫 情调 。   
 家居 	 流金岁月   淡彩 富贵 ( 图 ) 流金岁月 ， 淡彩 富贵   象征 着 华贵 、 光荣 、 辉煌 的 金色 是 中式 风格 里 最为 多见 的 色彩 ， 但是 ， 过于 耀眼 的 金色 会 让 客厅 缺少 自然 、 亲切感 。 米黄色 的 双人 沙发 带给 人 舒适 的 视觉享受 ， 手绘 的 银色 花鸟 壁纸 夸张 地 加入 了 蓝色 花草 图案 ， 充满 了 现代感 ， 更 容易 与 简洁 的 客厅 风格 完美 融合 。 沙发 周边 的 银色 铁艺 鸟笼 灯 强调 了 金属 质感 ， 黄色 中式 边 桌柜 提亮 了 客厅 的 整体 色调 ， 深棕色 的 方形 茶几 上 不经意 地 摆放着 金色花 器 和 皮质 器皿 ， 让 中式 氛围 愈加 浓烈 。   搭配 要素 ： 米黄色 沙发 + 低矮 茶几   银色 的 手绘 壁纸 非常 抢眼 ， 米黄色 的 沙发 恬淡 、 优雅 ， 适宜 搭配 低矮 的 深 咖啡色 茶几 。   组合 元素 ： 金银 色 装饰品 + 手绘 挂画   手绘 的 中式 花鸟 壁纸 能为 客厅 制造 亮点 ， 金银 色 饰品 能够 平静 而 安详 地 渲染 着 中式 氛围 。   
 家居 	 浅 高亮度 的 淡黄色 带来 宽敞 的 空间感 琥珀 彩 ： 浅 高亮度 的 淡黄色 带来 宽敞 的 空间感 ， 用 在 田园 格调 的 家中 ， 尤其 具有 柔和 的 质感 。 碎花 图案 的 窗帘 、 格子布 艺 的 沙发 、 旧 木质 地 的 老 家具 … … 经由 淡黄色 墙面 的 衬托 ， 显得 异常 甜美 温暖 。 搭配 建议 ： 布艺沙发 和 窗帘 的 红色 ， 以及 抽屉 柜 温暖 的 旧 木色 ， 搭配 淡黄色 墙面 ， 构筑 起 温暖 而 田园 的 意境 。 靠 包 、 瓷器 、 窗帘 上 的 青蓝色 图案 ， 则 以 冷色 的 点缀 ， 平衡 着 视觉 。   
 家居 	 淡淡 花儿 淡淡 香   淡淡 清凉 水 中游 ( 图 ) 透明 的 玻璃瓶 ， 浅色 淡雅 的 花材 ， 是 表现 夏日 自然 清凉 的 永恒 主题 — — 亚洲杯 花艺 大赛 冠军 、 台湾 花艺师 李嘉伟 作品 
 家居 	 淡粉 床具   描画 卧室 的 甜美 妆容 ( 组图 ) 如果 拥有 淡 粉色 的 睡床 ， 那么 这个 春天 ， 尽 可 打造 清新 甜美 的 卧室 ， 享受 精致 生活 。 粉色 是 骄傲 的 颜色 ， 自身 的 清秀 感 增加 了 它 对 其他 颜色 的 挑剔 。 剔透 的 白色 印花 床品 是 其 最好 的 选择 ， 上面 搭配 同色系 或 清淡 的 玫瑰色 、 天蓝色 等 花纹 装饰 ， 说显 春色 的 清新 甜美 。 图为   淡粉 床具   描画 卧室 的 甜美 妆容 柔和 曲线 造型 的 床头 ， 搭配 轻柔 光滑 的 丝绸 软包 ， 不仅 定下 了 卧室 的 色调 ， 也 增添 了 几分 浪漫 的 情调 。 床品 中 自然 印染 的 花枝 ， 令人 不禁 想 拾起 一朵 ， 感受 清新 的 味道 。 蓝绿色 的 枝叶 图案 ， 打破 了 色彩 的 单调 ， 增加 了 自然 的 气息 。 床边 配合 摆放着 鲜花 的 乳白色 铁艺 家具 ， 仿佛 将 花园 搬回 了 家 。 春 的 浪漫 甜美 感聚升 。 
 家居 	 深沉 极富 魅力 的 天蝎座 ( 图 ) 天蝎座   紫 / 深 紫红 深沉 极富 魅力 的 天蝎座 ， 总是 给 人 一种 莫测高深 的 观感 。 一种 深沉 浓郁 的 能量 ， 看不见 底 ， 却 内含 多样 风貌 与 变化 。 静谧 高贵 的 紫色 ， 以及 一种 又 深 又 厚 的 紫红色 ， 会令 天蝎座 人 感到 安全 与 自 在 ， 并 进而 化解 自身 无从 解释 的 悲情 与 郁结 。 紫红色 对 不喜 明亮 的 天蝎座 来说 ， 倒像 是 黑色 ， 只是 ， 透过 光线 ， 你 这 才 发现 ， 里面 大量 的 红色 ， 正是 澎湃 的 在内 翻滚 着 ， 一刻 也 不得闲 。 运用 令 自己 感到 安全 的 色彩 ， 逐步 化解 心头 的 不 开心 ， 是 天蝎座 运用 色彩 转化 自我 最 好的开始 。   
 家居 	 清新 田园 健康 风潮 ( 图 ) 清新 田园 健康 风潮 床品 是 YFY 专利 图案 ， 采用 高织 高密 纯棉布 料 、 细腻 健康 ； 床头 设计 大方 得体 ， 拼枕 厚度 适中 ， 软硬 适度 ； 色彩 搭配 协调 ， 柔和 却 倍 显 光泽 ； 床架 采用 南韩 进口 磨绒 。 
 家居 	 清雅 花卉 倍 添 祥和 ( 图 ) 书房   清雅 花卉 倍 添 祥和 即便 不 插花 ， 花瓶 本身 也 能 用来 装点 书房 , 不过 就要 根据 房间 和 家具 的 形状 、 大小 来 选择 。 如 书房 较 狭窄 ， 就 不宜 选 体积 过大 的 品种 ， 以免 产生 拥挤 压抑 的 感觉 ， 在 布置 时宜 采用 “ 点状 装饰 法 ” ， 即 在 适当 的 地方 摆置 精致 小巧 的 花瓶 ， 起到 点缀 、 强化 的 装饰 效果 。 而 面积 较 宽阔 的 书房 则 可 选择 体积 较大 的 品种 ， 如半人 高 的 落地 瓷 花瓶 、 精心 地 配置 几架 彩绘 玻璃 花瓶 ， 都 能 为 夏日 的 书房 平添 一份 清雅 祥和 的 气氛 。 完美 搭配 ： 书房 是 阅读 的 地方 ， 应 选择 色泽 安静 的 花瓶 。 鲜花 的 选择 也 遵循 同样 道理 。 
 家居 	 温暖 的 色彩   更 适合 年轻人 ( 图 ) 一款 时尚 的 台灯 一定 要 抛开 繁琐 ， 因为 只有 简约 的 风格 才 更 适合 现代 年轻人 ！ 温暖 的 色彩 ， 方便 的 操作 ， 时尚 的 设计 元素 ， 让 这些 小玩意 伴 你 度过 你 的 居家 生活 吧 ！ 
 家居 	 滨崎步 家 的 金 钻 马桶 ( 图 ) 据 香港媒体 报道 ， 乐坛 天后 滨崎步 一直 被 指 挥霍无度 ， 其母 最近 在 博客 上 公开 二人 位于 东京 涉谷 广尾区 的 共同 物业 ， 只见 豪宅 内 装修 华丽 ， 从 客厅 到 房间 ， 宽敞 之余 也 甚 有 气派 ， 而 厕所 内 的 金 钻 马桶 更加 是 奢侈 之 最 。 
 家居 	 滨崎步 母女俩 十分 会 享受 ( 图 ) 据 香港媒体 报道 ， 乐坛 天后 滨崎步 一直 被 指 挥霍无度 ， 其母 最近 在 博客 上 公开 二人 位于 东京 涉谷 广尾区 的 共同 物业 ， 只见 豪宅 内 装修 华丽 ， 从 客厅 到 房间 ， 宽敞 之余 也 甚 有 气派 ， 而 厕所 内 的 金 钻 马桶 更加 是 奢侈 之 最 。 
 家居 	 滨崎步 豪宅 曝光   金钻 马桶 装修 奢华 ( 组图 ) 据 香港媒体 报道 ， 乐坛 天后 滨崎步 一直 被 指 挥霍无度 ， 其母 最近 在 博客 上 公开 二人 位于 东京 涉谷 广尾区 的 共同 物业 ， 只见 豪宅 内 装修 华丽 ， 从 客厅 到 房间 ， 宽敞 之余 也 甚 有 气派 ， 而 厕所 内 的 金 钻 马桶 更加 是 奢侈 之 最 。 
 家居 	 滨崎步 豪宅 的 客厅 ( 图 ) 据 香港媒体 报道 ， 乐坛 天后 滨崎步 一直 被 指 挥霍无度 ， 其母 最近 在 博客 上 公开 二人 位于 东京 涉谷 广尾区 的 共同 物业 ， 只见 豪宅 内 装修 华丽 ， 从 客厅 到 房间 ， 宽敞 之余 也 甚 有 气派 ， 而 厕所 内 的 金 钻 马桶 更加 是 奢侈 之 最 。 
 家居 	 滨崎步 靓丽 家居 照 ( 图 ) 据 香港媒体 报道 ， 乐坛 天后 滨崎步 一直 被 指 挥霍无度 ， 其母 最近 在 博客 上 公开 二人 位于 东京 涉谷 广尾区 的 共同 物业 ， 只见 豪宅 内 装修 华丽 ， 从 客厅 到 房间 ， 宽敞 之余 也 甚 有 气派 ， 而 厕所 内 的 金 钻 马桶 更加 是 奢侈 之 最 。 
 家居 	 漂浮 在 半空 的 时钟 ( 图 ) 这次 要 为 各位 介绍 的 FloatingLCDClock ， 可不是 像 之前 介绍 过 那些 漂在 半空中 的 小玩意 ， 而是 货真价实 正港 漂在 半空中 的 时钟 。 看起来 很 神奇 吧 ！ 但 说穿 了 其实 也 没什么 。 简单 来说 ， 时钟 之所以 能够 悬在 半空 ， 是因为 上下 两端 的 基座 都 会 发出 磁力 ， 在 互相 拉扯 牵引 的 作用 下 ， 时钟 因而 固定 在 半空中 。   如果 各位 觉得 时钟 漂在 半空中 不够 酷 的话 ， 原厂 有 一组 航天飞机 模型 ， 同样 也 能 在 半空中 漂浮 。 这次 要 为 各位 介绍 的 FloatingLCDClock ， 可不是 像 之前 介绍 过 那些 漂在 半空中 的 小玩意 ， 而是 货真价实 正港 漂在 半空中 的 时钟 。 看起来 很 神奇 吧 ！ 但 说穿 了 其实 也 没什么 。 简单 来说 ， 时钟 之所以 能够 悬在 半空 ， 是因为 上下 两端 的 基座 都 会 发出 磁力 ， 在 互相 拉扯 牵引 的 作用 下 ， 时钟 因而 固定 在 半空中 。   如果 各位 觉得 时钟 漂在 半空中 不够 酷 的话 ， 原厂 有 一组 航天飞机 模型 ， 同样 也 能 在 半空中 漂浮 。 
 家居 	 激情 跳跃 时尚 写意 ( 图 ) 激情 跳跃 时尚 写意 从白到 红 的 激情 跳跃 是 灵感 迸发 的 结果 ； 流畅 的 外形 线条 注入 无限 情趣 。 专利 设计 充分 彰显 主人 的 高雅 品位 ； 软床 与 沙发 的 配套 搭配 让 您 的 卧房 更具 时尚 和 写意 感 。   
 家居 	 灵感 来自 于 织物 图案 和 维也纳 稻草 ( 图 ) 西班牙 著名 女 设计师 Patricia   Urquiola 的 户外 家具 设计 系列 ， 为 意大 BBItalia 品牌 所 做 ， 灵感 来自 于 织物 图案 和 维也纳 稻草 。 包括 坐具 和 桌子 ， 坐具 由 3 厘米 单位 的 白色 或 铜色 塑料 纤维 组成 。 软垫 由 硬质 塑料 结构 组成 适于 户外 使用 。 
 家居 	 炫丽 墙纸 感受 暖 暖 春意 ( 组图 ) 其实 家居 布置 并 不 复杂 ， 有时候 只要 换上 一副 色彩 明亮 的 墙纸 ， 就 可以 让 居室 满是 暖 暖 春意 。   
 家居 	 热情 的 白羊座 是 天生 的 勇敢 斗士 ( 图 ) 白羊座   红 / 金黄 热情 的 白羊座 ， 是 天生 的 勇敢 斗士 。 凡事 争先 ， 绝不 退缩 。 只要 有 白羊座 人 出现 ， 就 绝对 少不了 热情 或 冲突 的 场面 。 白羊座 的 色彩 能量 是 红色 与 金黄色 ， 金黄色 的 智慧 之光 ， 可以 缓和 火暴 又 爱 支配 他人 的 白羊 ， 遇事 冲动 的 个性 。 然而 ， 没有 火 也 是 不行 的 ， 因为 白羊 就是 因为 这个 爆发力 才能 将 所有 的 精力 贯彻 ， 进而 成功 。 
 家居 	 玻璃杯 容器 做成 的 餐桌 花 ( 图 ) 八个 作品 的 新娘 捧 花秀 将 花艺 发布 推向 了 高潮 。 从 传统 的 水滴形 捧 花 ， 到手 托式 、 提篮 式 捧 花 ， 再 到 欧洲 流行 的 双环 式 捧 花 ， 吴尚洋 为 新 人们 展示 了 丰富多彩 的 捧 花 造型 ， 其中 又 包含 了 花瓣 串联 技巧 、 金属线 装饰 技巧 以及 新娘 手托 细部 处理 技巧 。 一位 来宾 惊叹 地说 ， 从来 没有 看到 过 这么 多 款式 的 捧 花 ， 从来不 知道 捧 花 中 有 这么 丰富 的 文化 。 
 家居 	 用仿 丝绸 粉刷 技巧 给 椅背 重新 刷漆 ( 图 ) 餐椅 换 “ 妆 ”   用仿 丝绸 粉刷 技巧 给 椅背 重新 刷漆 ， 油漆 干透 后用 细 毛笔 蘸 取 褐色 颜料 在 椅背 描绘 虚线 花朵 图案 ， 图案 可 参考 椅垫 上 的 花纹 ， 达到 整体 协调 呼应 。 油漆 干透 后 用 美纹纸 给 椅背 贴 出 两道 颜色 的 分界线 ， 在 纸 外刷 上 与 椅面 和 椅腿 颜色 一致 的 油漆 ， 待 所有 的 油漆 干透 后 整体 粉刷 一遍 清漆 保护 。 
 家居 	 用 好 色彩 搭配 ( 图 ) 用 好 色彩 搭配 家居 装修 中 ， 如果 想 在 一个 房间 里 使用 多种 色彩 结合 ， 则 需要 在 柔和 与 强烈 的 组合 方式 中 加以 选择 。 通常 具备 相同 特质 的 颜色 之间 能 达成 极好 的 和谐 效果 ， 类似 粉色 调 或者 位于 两种 基础 色彩 之间 的 色彩 ， 如 黄色 和 橙色 。 专家 提示 ， 不要 在 一间 房间 里 使用 过多 色调 ， 不同 的 色调 之间 要 相互配合 ， 色调 卡 可以 帮助 选择 。 如果 在 一间 房间 里 粉刷 多种 颜色 ， 那么 永远 从 比较 浅 的 色调 开始 ， 这样 边角 上 的 小 污迹 就 可以 用 后来 的 深色 盖上 。 
 家居 	 用 竹子 等 花材 设计 的 舞台 ( 图 ) 结合 婚庆 花艺 场景 布置 、 餐桌 花 设计 、 模特 新娘 捧 花秀 ， 以及 现场 为 幸运 新娘 插制 手捧花 四项 内容 的 婚礼 花艺 发布 ， 历时 近 两个 小时 。 发布会 浓缩 了 近年来 台湾 以及 国际 婚礼 花艺 流行 元素 ， 制作 了 近 20 个 婚礼 花艺 作品 ， 向 新 人们 展示 了 丰富 的 婚礼 花艺 内涵 。 
 家居 	 用 艺术 延续 爱家 的 喜悦 ( 组图 ) 保罗 和 妻子 劳伦是 艺术家 也 是 艺术品 经销商 ， 两人 一直 以来 为 艺术 疯狂 ， 夫妻俩 自己 制作 艺术品 ， 也 购买 他人 的 作品 。 他们 对 艺术 的 执著 到 了 会 从 房租 里 拿出 一半 的 钱 来 购买 喜欢 的 手工 陶瓷 花瓶 。 三十年 过去 了 ， 他们 还是 在 不断 地 购买 各种 喜欢 的 工艺品 。 一部分 是 为 他们 自己 的 家 ， 另 一部分 则 是 为了 夫妻 二人 开设 的 三个 画廊 。 “ 一些 人肯 为 豪华车 、 旅行 花费 大 价钱 ， 而 我们 则 喜欢 为 艺术品 买单 。 ” 保罗 说道 。   
 家居 	 田园 风味 又 不失 时尚 魅力 ( 图 ) 48 平 田园 风格 的 小 复式 样板间 ， 你 见 过 没 ? 如何 将 小小的 空间 装修 得 既有 田园 风味 又 不失 时尚 魅力 。 看看 下面 的 装修 样板间 ， 绝对 不会 让 喜欢 田园 碎花 的 你 失望 。 
 家居 	 田园 风格 突出 格调 清婉 惬意 ( 图 ) 美式 田园 风格 突出 格调 清婉 惬意 ， 外观 雅致 休闲 ， 色彩 多以 淡雅 的 板岩 色 和 古董 白 居多 ， 随意 涂鸦 的 花卉 图案 为 主流 特色 ， 线条 随意 但 注重 干净 干练 。 相对 其他 风格 的 家具 ， 它 的 家具 类别 最为 广泛 。 
 家居 	 画面 勾勒 出 了 文化 混血 的 精彩 ( 图 ) 由 现代 沙发 、 成 对 圈椅 组成 的 画面 勾勒 出 了 文化 混血 、 审美 混 搭 的 精彩 。 一丛 碧绿 ， 袭袭 飘出 葱翠 鲜竹 的 淡雅 ; 涤荡 身心 的 同时 ， 还 调节 着 室内 小气候 。 镂空 木 屏风 亦 典雅 清秀 … … 中式 魅力 尽 在 这 不静 不 喧 的 点滴 古韵里 。 
 家居 	 白砖 的 粗糙 与 瓷器 的 脆弱 ( 图 ) 东子 不会 将 自己 与 家人 禁锢 。 她 珍视 自己 的 画作 ， 但是 ， 这 并 不 妨碍 女儿 在 自己 的 画纸 上 爬来爬去 。 她 淘来 的 带 着 精美 花饰 的 古董 床 ， 变成 了 家中 喝茶 的 坐 榻 … … 对于 她 来说 ， 家 本来 就 应该 是 个 随意 的 地方 ， 更何况 ， 是 童话 中 的 家 呢 ？ 
 家居 	 白色 可以 增强 兴奋 色 的 明朗 度 ( 图 ) 那些 加入 过多 白色 的 红 以及 褪色 的 红 ， 多少 都 会 显得 忧郁 ， 最好 不要 选用   白色 和 兴奋 色系 配合 使用 ， 可以 增强 兴奋 色 的 明朗 度 ， 使得 环境 更加 明亮 、 透气 ， 从而 安抚 心脏   、 神经 和 精神 ， 并 可能 有助于 培养 活力 和 活跃 的 思想 。 
